Player,Nation,Squad,Age,Position,ETV
Emiliano Martínez,ARG,Aston Villa,32-224,GK,€23M
Enzo Fernández,ARG,Chelsea,24-087,MF,€74.2M
Erling Haaland,NOR,Manchester City,24-267,FW,€199.6M
Ethan Pinnock,JAM,Brentford,31-320,DF,€7.6M
Evanilson,BRA,Bournemouth,25-190,FW,
Ezri Konsa,ENG,Aston Villa,27-173,DF,€44.3M
Fabian Schär,SUI,Newcastle Utd,33-115,DF,€7.5M
Facundo Buonanotte,ARG,Leicester City,20-112,"FW,MF",€31.1M
Flynn Downes,ENG,Southampton,26-084,MF,€8.5M
Gabriel Magalhães,BRA,Arsenal,27-116,DF,€66.5M
Gabriel Martinelli,BRA,Arsenal,23-300,"FW,MF",€60M
Georginio Rutter,FRA,Brighton,22-359,"MF,FW",€41.2M
Guglielmo Vicario,ITA,Tottenham,28-189,GK,€41.6M
Guido Rodríguez,ARG,West Ham,31-002,MF,€13.6M
Harry Maguire,ENG,Manchester Utd,32-040,DF,€13.8M
Harry Winks,ENG,Leicester City,29-071,MF,€11.5M
Harvey Barnes,ENG,Newcastle Utd,27-126,FW,€42.6M
Ibrahima Konaté,FRA,Liverpool,25-324,DF,€57.2M
Idrissa Gana Gueye,SEN,Everton,35-200,MF,
Igor,BRA,Brighton,27-066,DF,
Iliman Ndiaye,SEN,Everton,25-039,FW,€24.9M
Illia Zabarnyi,UKR,Bournemouth,22-225,DF,€55.1M
Ismaila Sarr,SEN,Crystal Palace,27-048,"MF,FW",
Issa Diop,FRA,Fulham,28-095,DF,€17.9M
Jack Clarke,ENG,Ipswich Town,24-142,"FW,MF",
Jack Harrison,ENG,Everton,28-145,FW,€17.9M
Jack Hinshelwood,ENG,Brighton,20-003,"DF,MF",€9.2M
Jack Stephens,ENG,Southampton,31-077,DF,€1.4M
Jacob Greaves,ENG,Ipswich Town,24-214,DF,€25.4M
Jacob Murphy,ENG,Newcastle Utd,30-049,FW,€17.9M
Jacob Ramsey,ENG,Aston Villa,23-321,"FW,MF",€45.7M
Jadon Sancho,ENG,Chelsea,25-020,FW,€36.2M
Jake O'Brien,IRL,Everton,23-334,DF,
James Garner,ENG,Everton,24-032,"MF,DF",€23.2M
James Justin,ENG,Leicester City,27-050,DF,€16.4M
James Maddison,ENG,Tottenham,28-142,MF,€57.3M
James Tarkowski,ENG,Everton,32-146,DF,€15.5M
Jamie Vardy,ENG,Leicester City,38-093,FW,€1.2M
Jan Bednarek,POL,Southampton,29-002,DF,€13M
Jan Paul van Hecke,NED,Brighton,24-310,DF,€41.9M
Jannik Vestergaard,DEN,Leicester City,32-254,DF,€2M
Jarrad Branthwaite,ENG,Everton,22-291,DF,€32.9M
Jarrod Bowen,ENG,West Ham,28-115,"FW,MF",€48.4M
Jean-Clair Todibo,FRA,West Ham,25-105,DF,€36.1M
Jean-Philippe Mateta,FRA,Crystal Palace,27-290,FW,€31.7M
Jean-Ricner Bellegarde,FRA,Wolves,26-291,"MF,FW",€21.3M
Jefferson Lerma,COL,Crystal Palace,30-171,"MF,DF",€12.8M
Jens Cajuste,SWE,Ipswich Town,25-247,MF,€15.4M
Jeremy Doku,BEL,Manchester City,22-322,"FW,MF",
Jesper Lindstrøm,DEN,Everton,25-044,FW,€24.4M
Joachim Andersen,DEN,Fulham,28-318,DF,€32.9M
Joe Aribo,NGA,Southampton,28-267,"MF,DF",€8M
Joelinton,BRA,Newcastle Utd,28-243,"MF,FW",€45.7M
John McGinn,SCO,Aston Villa,30-178,"MF,FW",€21.6M
Jordan Ayew,GHA,Leicester City,33-215,"FW,MF",€4.5M
Jordan Pickford,ENG,Everton,31-038,GK,€23.8M
Joshua Zirkzee,NED,Manchester Utd,23-327,"FW,MF",€43.3M
José Sá,POR,Wolves,32-087,GK,€8.6M
João Gomes,BRA,Wolves,24-061,MF,€51.1M
João Pedro,BRA,Brighton,23-200,"FW,MF",€61.3M
Joël Veltman,NED,Brighton,33-089,DF,€5.9M
Joško Gvardiol,CRO,Manchester City,23-081,DF,€77.4M
Jurriën Timber,NED,Arsenal,23-301,DF,€62.7M
Justin Kluivert,NED,Bournemouth,25-344,"MF,FW",€44.3M
Jørgen Strand Larsen,NOR,Wolves,25-067,FW,€30.3M
Kai Havertz,GER,Arsenal,25-307,"FW,MF",€70M
Kalvin Phillips,ENG,Ipswich Town,29-133,MF,€17.3M
Kamaldeen Sulemana,GHA,Southampton,23-058,"FW,MF",€18.5M
Kaoru Mitoma,JPN,Brighton,27-329,"FW,MF",€49.2M
Keane Lewis-Potter,ENG,Brentford,24-051,"DF,FW",
